Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name,Macro_Sentiment_Multiplier,Systemic_Risk_Off,Combined_Score,Base_Rank_Score
TCS,2151.4,AVOID,34.9,0.23,4.3 days,82.3,High ROE (48.4%) | Low Leverage (D/E: 0.10) | Healthy Margins (18.4%),20.0,Neutral Setup,0.1,MC Target Prob: 0.2% | Expected Horizon: 4.3d,0.0,0.37,-0.0115,779300.0,74.8,100.0,65.0,70.0,50.0,70.0,YES,YES,YES,Breakdown,10.0,-37.24,0.0,3428.07,2151.4,34.5,46.9,15.8,6.87,48.4,9.6,0.1,Nifty IT,0.0,False,46.9,46.9
TECHM,1503.4,AVOID,47.9,0.36,4.3 days,73.6,High ROE (16.6%) | Low Leverage (D/E: 0.07),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,15.4,MC Target Prob: 0.5% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.01,0.34,0.0051,130989.0,85.0,56.7,40.0,80.0,100.0,70.0,YES,NO,YES,Confirmed Bounce,80.0,-14.99,12.89,1768.4,1331.7,55.3,59.0,27.3,4.43,16.6,12.6,0.07,Nifty IT,0.0,False,59.0,59.0
TIINDIA,3056.1,AVOID,41.0,0.28,3.8 days,46.0,Strong Revenue Growth (20.7%) | Low Leverage (D/E: 0.28),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,2.5,MC Target Prob: 3.6% | Expected Horizon: 3.8d,0.04,0.48,-0.0262,59275.0,60.8,36.7,25.0,55.0,70.0,70.0,NO,NO,YES,Neckline Breakout,75.0,-10.15,39.71,3401.52,2187.45,61.7,46.9,93.0,7.88,0.0,20.7,0.28,Nifty Auto,0.0,False,46.9,46.9
TVSMOTOR,3317.6,AVOID,43.8,0.38,4.3 days,61.8,Strong Revenue Growth (31.3%) | High ROE (31.6%),38.0,Constructive RSI (Neutral-Bullish),30.8,MC Target Prob: 1.1% | Model Predicts +3.0% (10d) | Expected Horizon: 4.3d,0.01,0.34,0.0301,158483.0,59.5,60.0,25.0,90.0,35.0,70.0,NO,NO,YES,Forming Trough 2,55.0,-15.81,22.51,3940.43,2708.13,53.4,48.5,52.5,47.43,31.6,31.3,3.06,Nifty Auto,0.0,False,48.5,48.5
UBL,1314.3,SELL,23.6,0.2,4.3 days,34.8,Low Leverage (D/E: 0.29),38.0,Constructive RSI (Neutral-Bullish),0.0,MC Target Prob: 0.0% | Expected Horizon: 4.3d,0.0,0.34,-0.0052,35094.0,57.5,100.0,25.0,22.5,65.0,70.0,YES,YES,YES,Breakdown,10.0,-36.7,2.2,2076.4,1286.0,42.3,33.8,84.6,8.08,9.3,-3.1,0.29,Nifty FMCG,0.0,False,33.8,33.8
UNITDSPR,1238.5,AVOID,30.7,0.25,4.3 days,55.4,High ROE (20.0%) | Low Leverage (D/E: 0.05) | Healthy Margins (14.7%),20.0,Neutral Setup,15.1,MC Target Prob: 0.2% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.0,0.34,0.001,91645.0,65.8,80.0,40.0,67.5,65.0,85.0,YES,NO,YES,Breakdown,10.0,-22.26,1.62,1593.19,1218.8,31.4,41.2,52.5,10.65,20.0,0.8,0.05,Nifty FMCG,0.0,False,41.2,41.2
UNOMINDA,1053.1,AVOID,47.3,0.4,3.8 days,69.3,Strong Revenue Growth (17.8%) | High ROE (19.2%) | Low Leverage (D/E: 0.38),38.0,Constructive RSI (Neutral-Bullish),33.2,MC Target Prob: 4.6% | Model Predicts +2.1% (10d) | Expected Horizon: 3.8d,0.05,0.44,0.0208,62395.0,66.8,70.0,25.0,100.0,50.0,70.0,YES,NO,YES,Forming Trough 2,55.0,-22.87,3.94,1365.3,1013.2,50.3,53.2,52.0,9.99,19.2,17.8,0.38,Nifty Auto,0.0,False,53.2,53.2
VBL,522.15,AVOID,43.3,0.29,3.9 days,53.8,Strong Revenue Growth (18.1%) | Low Leverage (D/E: 0.13) | Healthy Margins (14.0%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,1.5,MC Target Prob: 2.1% | Expected Horizon: 3.9d,0.02,0.46,-0.0119,177993.0,82.5,41.7,40.0,90.0,100.0,70.0,NO,NO,YES,Confirmed Bounce,80.0,-3.21,36.92,539.45,381.36,54.9,55.1,55.8,9.09,0.0,18.1,0.13,Nifty FMCG,0.0,False,55.1,55.1
WIPRO,181.76,AVOID,41.6,0.27,4.1 days,85.8,High ROE (15.4%) | Low Leverage (D/E: 0.23) | Healthy Margins (14.2%),38.0,Positive Trend Slope,0.6,MC Target Prob: 0.8% | Expected Horizon: 4.1d,0.01,0.39,-0.0068,187704.0,76.0,100.0,80.0,35.0,70.0,85.0,YES,YES,YES,Breakdown,10.0,-31.62,0.0,265.81,181.76,37.5,51.9,14.3,2.09,15.4,7.7,0.23,Nifty IT,0.0,False,51.9,51.9
YESBANK,23.0,WAIT,51.6,0.38,4.0 days,82.9,Strong Revenue Growth (19.8%) | Low Leverage (D/E: 0.00) | Healthy Margins (22.0%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,16.5,MC Target Prob: 2.1% | Model Predicts Positive Return | Expected Horizon: 4.0d,0.02,0.41,0.0095,70933.0,85.4,28.3,67.5,90.0,100.0,70.0,NO,NO,YES,Confirmed Bounce,80.0,-4.29,33.33,24.03,17.25,63.7,61.7,20.2,1.43,7.1,19.8,0.0,Nifty Private Bank,0.0,False,61.7,61.7
